id,qual,q1,q2i,q3i
5d23b377597f0811be56767f,2,2,1,1
5d23b377597f0811be567680,3,3,1,1
5d23b377597f0811be567681,5,3,0,0
5d23b377597f0811be567682,1,1,1,1
5d23b377597f0811be567683,3,3,1,1
5d23b377597f0811be567684,1,1,1,1
5d23b377597f0811be567685,2,2,1,1
5d23b377597f0811be567686,1,1,1,1
5d23b377597f0811be567687,2,2,1,1
5d23b377597f0811be567688,1,1,1,1
5d23b377597f0811be567689,3,3,1,1
5d23b377597f0811be56768a,2,2,1,1
5d23b377597f0811be56768c,3,3,1,1
5d23b377597f0811be56768f,3,3,1,1
5d23b377597f0811be567691,3,3,1,1
5d23b377597f0811be567692,1,1,1,1
5d23b377597f0811be567693,1,1,1,1
5d23b377597f0811be567694,5,3,0,0
5d23b377597f0811be567696,3,3,1,1
5d23b377597f0811be567697,5,3,0,0
5d23b377597f0811be567698,3,3,1,1
5d23b377597f0811be567699,3,3,1,1
5d23b377597f0811be56769b,1,1,1,1
5d23b377597f0811be56769c,3,3,1,1
5d23b377597f0811be56769d,0,0,1,1
5d23b377597f0811be56769e,1,1,1,1
5d23b377597f0811be56769f,1,1,1,1
5d23b377597f0811be5676a0,3,3,1,1
5d23b377597f0811be5676a1,2,2,1,1
5d23b377597f0811be5676a2,2,2,1,1
5d23b377597f0811be5676a6,5,3,0,0
5d23b377597f0811be5676a7,3,3,1,1
5d23b377597f0811be5676a8,5,3,0,0
5d23b377597f0811be5676a9,3,3,1,1
5d23b377597f0811be5676aa,3,3,1,1
5d23b377597f0811be5676ab,3,3,1,1
5d23b377597f0811be5676ac,5,3,0,0
5d23b377597f0811be5676ad,5,3,0,0
5d23b377597f0811be5676ae,3,3,1,1
5d23b377597f0811be5676af,3,3,1,1
5dcb071d5e7eaa07cc9bf506,3,3,1,1
5dcb071d5e7eaa07cc9bf507,5,3,0,0
5dcb071d5e7eaa07cc9bf508,3,3,1,1
5dcb071d5e7eaa07cc9bf509,3,3,1,1
5dcb071d5e7eaa07cc9bf50c,3,3,1,1
5dcb071d5e7eaa07cc9bf50d,3,3,1,1
5dcb071d5e7eaa07cc9bf50e,3,3,1,1
5dcb071d5e7eaa07cc9bf50f,5,3,0,0
5dcb071d5e7eaa07cc9bf510,2,2,1,1
5dcb071d5e7eaa07cc9bf512,3,3,1,1
5dcb071d5e7eaa07cc9bf513,3,3,1,1
5dcb071d5e7eaa07cc9bf514,3,3,1,1
5dcb071d5e7eaa07cc9bf515,1,1,1,1
5dcb071d5e7eaa07cc9bf516,3,3,1,1
5dcb071d5e7eaa07cc9bf517,5,3,0,0
5dcb071d5e7eaa07cc9bf518,3,3,1,1
5dcb071d5e7eaa07cc9bf519,3,3,1,1
5dcb071d5e7eaa07cc9bf51a,1,1,1,1
5dcb071d5e7eaa07cc9bf51b,3,3,1,1
5dcb071d5e7eaa07cc9bf51c,4,3,0,1
5dcb071d5e7eaa07cc9bf51d,3,3,1,1
5dcb071d5e7eaa07cc9bf51e,3,3,1,1
5dcb071d5e7eaa07cc9bf51f,3,3,1,1
5dcb071d5e7eaa07cc9bf520,1,1,1,1
5dcb071d5e7eaa07cc9bf521,5,3,0,0
5dcb071d5e7eaa07cc9bf522,3,3,1,1
5dcb071d5e7eaa07cc9bf523,3,3,1,1
5dcb071d5e7eaa07cc9bf524,3,3,1,1
5dcb071d5e7eaa07cc9bf525,3,3,1,1
5dcb071d5e7eaa07cc9bf526,3,3,1,1
5dcb071d5e7eaa07cc9bf527,3,3,1,1
5dcb071d5e7eaa07cc9bf528,3,3,1,1
5dcb071d5e7eaa07cc9bf529,3,3,1,1
5dcb071d5e7eaa07cc9bf52a,2,2,1,1
5dcb071d5e7eaa07cc9bf52b,3,2,0,1
5dcb071d5e7eaa07cc9bf52c,3,3,1,1
5dcb071d5e7eaa07cc9bf52d,3,3,1,1
5dcb071d5e7eaa07cc9bf52e,3,3,1,1
5dcb071d5e7eaa07cc9bf52f,3,3,1,1
5dcb071d5e7eaa07cc9bf530,3,3,1,1
5dcb071d5e7eaa07cc9bf531,3,3,1,1
5dcb071d5e7eaa07cc9bf532,3,3,1,1
5dcb071d5e7eaa07cc9bf533,5,3,0,0
5dcb071d5e7eaa07cc9bf534,3,3,1,1
5dcb071d5e7eaa07cc9bf535,3,3,1,1
5dcb071d5e7eaa07cc9bf536,5,3,0,0
5dcb071d5e7eaa07cc9bf537,3,3,1,1
5dcb071d5e7eaa07cc9bf538,5,3,0,0
5dcb071d5e7eaa07cc9bf539,3,3,1,1
5dcb071d5e7eaa07cc9bf53b,5,3,0,0
5dcb071d5e7eaa07cc9bf53c,3,3,1,1
5dcb071d5e7eaa07cc9bf53d,5,3,0,0
5dcb071d5e7eaa07cc9bf53e,3,3,1,1
5dcb071d5e7eaa07cc9bf53f,3,3,1,1
5dcb071d5e7eaa07cc9bf540,3,3,1,1
5dcb071d5e7eaa07cc9bf541,3,3,1,1
5dcb071d5e7eaa07cc9bf542,5,3,0,0
5dcb071d5e7eaa07cc9bf543,5,3,0,0
5efa25bff37a934011c6d549,1,1,1,1
5efa25bff37a934011c6d54b,3,3,1,1
5efa25bff37a934011c6d54d,1,1,1,1
