id,qual,q1,q2i,q3i
613f7401a5b73038054a6192,3,3,1,1
613f7401a5b73038054a6193,1,1,1,1
613f7401a5b73038054a6194,3,3,1,1
613f7401a5b73038054a6195,2,2,1,1
613f7401a5b73038054a6196,2,2,1,1
613f7401a5b73038054a6197,5,3,0,0
613f7401a5b73038054a6198,2,2,1,1
613f740ba5b73038054a619c,1,1,1,1
613f740ba5b73038054a619d,2,2,1,1
613f740ba5b73038054a619e,1,1,1,1
613f740ba5b73038054a619f,1,1,1,1
613f740ba5b73038054a61a1,5,3,0,0
613f740ba5b73038054a61a2,1,1,1,1
613f740ba5b73038054a61a3,5,3,0,0
613f740ba5b73038054a61a4,1,1,1,1
613f740ba5b73038054a61a7,3,3,1,1
613f740ba5b73038054a61a8,3,3,1,1
613f740ba5b73038054a61a9,1,1,1,1
613f740ba5b73038054a61ab,3,3,1,1
613f740ba5b73038054a61ac,2,2,1,1
613f740ba5b73038054a61ad,5,3,0,0
613f740ba5b73038054a61ae,5,3,0,0
613f740ba5b73038054a61af,4,3,0,1
613f740ba5b73038054a61b3,5,3,0,0
613f740ba5b73038054a61b4,3,3,1,1
613f740ba5b73038054a61b5,3,3,1,1
613f740ba5b73038054a61b6,3,3,1,1
613f740ba5b73038054a61b7,5,3,0,0
613f740ba5b73038054a61b8,5,3,0,0
613f740ba5b73038054a61b9,1,1,1,1
613f740ba5b73038054a61ba,3,3,1,1
613f740ba5b73038054a61bb,3,3,1,1
613f740ba5b73038054a61bc,2,2,1,1
613f740ba5b73038054a61bd,1,1,1,1
613f740ba5b73038054a61be,1,1,1,1
613f740ba5b73038054a61bf,1,1,1,1
613f740ba5b73038054a61c0,3,3,1,1
613f740ba5b73038054a61c1,1,1,1,1
613f740ba5b73038054a61c2,3,3,1,1
613f740ba5b73038054a61c3,3,3,1,1
613f740ba5b73038054a61c4,3,3,1,1
613f740ba5b73038054a61c5,1,1,1,1
613f740ba5b73038054a61c6,1,1,1,1
613f740ba5b73038054a61c7,3,3,1,1
613f740ba5b73038054a61c8,1,1,1,1
613f740ba5b73038054a61c9,3,3,1,1
613f740ba5b73038054a61cd,3,3,1,1
613f740ba5b73038054a61ce,1,1,1,1
613f740ba5b73038054a61cf,5,3,0,0
613f740ba5b73038054a61d0,3,2,0,1
613f740ba5b73038054a61d1,5,3,0,0
613f740ba5b73038054a61d2,3,3,1,1
