id,qual,q1,q2i,q3i
62bddd0e3aa68f161edf420a,5,3,0,0
62bddd0e3aa68f161edf4215,1,1,1,1
62bddd0e3aa68f161edf4216,1,1,1,1
62bddd0e3aa68f161edf4217,1,1,1,1
62bddd0e3aa68f161edf4218,3,3,1,1
62bddd0e3aa68f161edf4219,1,1,1,1
62bddd0e3aa68f161edf421a,3,3,1,1
62bddd0e3aa68f161edf421b,1,1,1,1
62bddd0e3aa68f161edf421c,1,1,1,1
62bddd0e3aa68f161edf421d,2,2,1,1
62bddd0e3aa68f161edf421e,5,3,0,0
62bddd0e3aa68f161edf421f,5,3,0,0
62bddd0e3aa68f161edf4220,3,3,1,1
62bddd0e3aa68f161edf4221,3,3,1,1
62bddd0e3aa68f161edf4222,3,3,1,1
62bddd0e3aa68f161edf4223,3,3,1,1
62bddd0e3aa68f161edf4224,3,3,1,1
62bddd0e3aa68f161edf4225,3,3,1,1
62bddd0e3aa68f161edf4226,3,3,1,1
62bddd0e3aa68f161edf4227,1,1,1,1
62bddd0e3aa68f161edf4228,3,3,1,1
62bddd0e3aa68f161edf4229,3,3,1,1
62bddd0e3aa68f161edf422a,3,3,1,1
62bddd0e3aa68f161edf422b,5,3,0,0
62bddd0e3aa68f161edf422c,3,3,1,1
62bddd0e3aa68f161edf422d,5,3,0,0
62bddd0e3aa68f161edf422e,3,3,1,1
62bddd0e3aa68f161edf422f,5,3,0,0
62bddd0e3aa68f161edf4230,1,1,1,1
62bddd0e3aa68f161edf4231,2,2,1,1
62bddd0e3aa68f161edf4232,2,2,1,1
62bddd0e3aa68f161edf4233,3,3,1,1
62bddd0e3aa68f161edf4234,3,3,1,1
62bddd0e3aa68f161edf4235,1,1,1,1
62bddd0e3aa68f161edf4236,3,3,1,1
62bddd0e3aa68f161edf4237,3,3,1,1
62bddd0e3aa68f161edf4238,1,1,1,1
62bddd0e3aa68f161edf4239,5,3,0,0
62bddd0e3aa68f161edf423a,3,3,1,1
62bddd0e3aa68f161edf423b,3,3,1,1
62bddd0e3aa68f161edf423c,3,3,1,1
62bddd0e3aa68f161edf423d,5,3,0,0
62bddd0e3aa68f161edf423e,3,3,1,1
62bddd0e3aa68f161edf423f,3,3,1,1
62bddd0e3aa68f161edf4240,3,3,1,1
62bddd0e3aa68f161edf4241,3,3,1,1
62bddd0e3aa68f161edf4242,3,3,1,1
62bddd0e3aa68f161edf4243,1,1,1,1
62bddd0e3aa68f161edf4244,3,3,1,1
62bddd0e3aa68f161edf4245,3,3,1,1
62bddd0e3aa68f161edf4246,1,1,1,1
62bddd0e3aa68f161edf4247,1,1,1,1
62bddd0e3aa68f161edf4248,5,3,0,0
62bddd0e3aa68f161edf4249,5,3,0,0
62bddd0e3aa68f161edf424a,3,3,1,1
62bddd0e3aa68f161edf424b,5,3,0,0
62bddd0e3aa68f161edf424c,3,3,1,1
62bddd0e3aa68f161edf424d,3,3,1,1
62bddd0e3aa68f161edf424e,3,3,1,1
62bddd0e3aa68f161edf424f,5,3,0,0
62bddd0e3aa68f161edf4250,3,3,1,1
62bddd0e3aa68f161edf4255,5,3,0,0
62bddd0e3aa68f161edf4256,3,3,1,1
62bddd0e3aa68f161edf4257,5,3,0,0
